epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6943,0.83908,2.15446,1.23058,0.77553,0.69927,0.79296,0.59766,0.82001,1.49512,1.22915,0.00041351,0.00041351,0.00041351
2,49.9518,0.90579,1.52806,1.25573,0.72269,0.66599,0.71322,0.51291,0.93323,1.69998,1.34838,0.000789083,0.000789083,0.000789083
3,70.7448,0.93778,1.40924,1.27036,0.78136,0.75578,0.81196,0.55805,1.00955,1.37162,1.44793,0.00112341,0.00112341,0.00112341
4,92.515,0.9664,1.35137,1.28483,0.76168,0.64519,0.7788,0.54179,1.03355,1.51742,1.42731,0.00106437,0.00106437,0.00106437
5,115.317,0.94388,1.24792,1.26402,0.81669,0.77935,0.86287,0.6327,0.98244,1.1941,1.40891,0.0010025,0.0010025,0.0010025
6,136.594,0.89396,1.13087,1.234,0.84795,0.79423,0.88396,0.64887,0.98253,0.97852,1.36672,0.000940625,0.000940625,0.000940625
7,157.656,0.87127,1.09499,1.2288,0.86712,0.81319,0.90332,0.6955,0.94887,0.97693,1.38182,0.00087875,0.00087875,0.00087875
8,179.171,0.85145,1.04589,1.20376,0.91126,0.8193,0.92053,0.70473,0.91624,0.83783,1.3214,0.000816875,0.000816875,0.000816875
9,200.072,0.81889,0.96418,1.19977,0.87494,0.86188,0.9258,0.71508,0.84618,0.77249,1.23991,0.000755,0.000755,0.000755
10,221.043,0.80682,0.90876,1.17629,0.91789,0.84784,0.91444,0.71326,0.89756,0.80048,1.35159,0.000693125,0.000693125,0.000693125
11,272.53,0.7325,0.87093,1.15396,0.83798,0.79498,0.87887,0.67779,0.90442,0.98211,1.37581,0.00063125,0.00063125,0.00063125
12,293,0.70889,0.83138,1.13485,0.92733,0.8256,0.91491,0.7284,0.83431,0.71988,1.22658,0.000569375,0.000569375,0.000569375
13,313.586,0.6906,0.75357,1.10652,0.90055,0.86513,0.9299,0.73687,0.8628,0.66756,1.26979,0.0005075,0.0005075,0.0005075
14,334.729,0.66695,0.69934,1.08569,0.92735,0.85503,0.92928,0.72127,0.84179,0.67221,1.29153,0.000445625,0.000445625,0.000445625
15,356.484,0.65312,0.65075,1.07549,0.91531,0.87626,0.93547,0.75069,0.7844,0.66176,1.21153,0.00038375,0.00038375,0.00038375
16,376.753,0.64085,0.62415,1.06053,0.94233,0.88576,0.94723,0.76792,0.76638,0.60206,1.18224,0.000321875,0.000321875,0.000321875
17,400.185,0.59132,0.56928,1.02938,0.94119,0.87533,0.94786,0.779,0.76388,0.5714,1.22002,0.00026,0.00026,0.00026
18,423.65,0.57884,0.54974,1.01643,0.92642,0.87761,0.93985,0.77949,0.74079,0.5734,1.18123,0.000198125,0.000198125,0.000198125
19,445.918,0.56555,0.50497,1.0124,0.92978,0.869,0.9458,0.77461,0.73265,0.56296,1.21178,0.00013625,0.00013625,0.00013625
20,466.53,0.53055,0.50231,0.98984,0.94994,0.90123,0.95135,0.78228,0.71701,0.52714,1.19944,7.4375e-05,7.4375e-05,7.4375e-05
